,timbre_median_1,timbre_median_2,timbre_median_3,timbre_median_4,timbre_median_5,timbre_median_6,timbre_median_7,timbre_median_8,timbre_median_9,timbre_median_10,timbre_median_11,timbre_median_12
181,48.093,20.494999999999997,3.543,-5.635,25.555999999999997,-25.648000000000003,-5.186999999999999,-6.5835,-19.518,-3.565,-9.552499999999998,-1.9925000000000002
182,47.951,9.477,17.891,-11.591,-1.411,-23.223,-2.717,1.13,-2.32,1.379,-7.839,-0.505
183,51.6695,57.6465,59.911500000000004,6.092499999999999,34.6545,-22.4615,-10.011,1.0819999999999999,-9.832999999999998,-5.5455000000000005,-6.024,-0.679
184,53.671499999999995,35.7145,-2.9115,-22.587,26.7935,-30.8345,0.667,-1.2895,2.1925,3.1615,-11.9805,-11.18
185,49.503,24.6295,-16.8455,-22.8535,31.141,-31.919,2.1895,-1.0425,0.9415,1.4405000000000001,-9.911,-2.6020000000000003
186,48.161,14.521,-23.953,-10.675,9.586,-21.515,2.221,3.411,-1.11,1.134,-11.141,-4.246
187,43.789,-15.472,-35.043,-2.759,6.267,-22.969,-10.037,1.853,-2.696,6.309,-10.982,4.606
188,46.878,-28.488999999999997,25.387999999999998,-4.106,46.301500000000004,-15.0775,-15.072500000000002,-2.9565,-4.998,-3.0345,-9.222000000000001,-0.4875
189,50.375,23.276,4.994,-6.319,36.393,-16.968,5.568,5.119,-6.137,-0.233,-10.206,0.566
190,53.0155,45.681,22.1455,-5.519,21.488500000000002,-27.098,-1.336,-1.846,-17.7725,-0.8135,-7.4125,-0.28400000000000003
191,44.2,-42.404,-60.911500000000004,-8.503,-4.8075,-29.97,4.6835,-5.1805,-4.6555,-4.781000000000001,-9.998999999999999,-4.598000000000001
192,48.769,23.529,29.316,-7.284,12.138,-18.759,1.188,0.71,-6.426,-0.055,-11.526,-5.567
193,52.243,59.959,5.363,-8.939,7.019,-29.041,8.632,5.61,-4.821,-0.946,-7.898,3.019
194,46.91,17.5355,-39.17,9.446000000000002,4.855,-26.6595,-13.2835,-0.9055,-7.659,0.9305,-11.699,-2.5890000000000004
195,50.253,67.39750000000001,16.624,9.493500000000001,21.872500000000002,-18.391,-4.966,-2.825,-9.178,-1.3335,-16.96,-3.7235
196,54.0065,60.7355,35.6325,4.3774999999999995,25.151,-27.401,-6.1475,-0.11599999999999999,-2.114,3.3125,-9.0735,-7.246
197,50.8965,54.7515,-9.158999999999999,4.1935,6.218,-13.3935,1.3595,0.3745,-9.078,9.503499999999999,-13.307500000000001,-5.8865
198,51.253,52.694,21.817,0.567,19.746,-18.738,13.21,7.701,-0.241,0.633,-12.329,-2.536
199,50.488,44.879,30.214,-12.667,42.587,-25.606,-7.337,1.525,2.906,-0.754,-9.594,0.742
200,51.304,54.55,-7.736000000000001,-0.623,-4.5545,-17.829,0.7375,1.6389999999999998,-0.6890000000000001,-0.007500000000000001,-12.4145,2.339
201,48.383,17.212,12.864,-4.073,10.357,-12.189,6.295,5.074,-0.937,-3.774,-12.58,3.571
202,53.06,34.255,16.5,-3.315,21.484,-21.491,15.185,0.642,-8.403,-0.673,-14.449,-6.465
203,47.256,-17.705,35.824,-4.301,43.874,-19.789,-11.658,-1.376,-15.381,-8.201,-3.852,-4.62
204,49.732,35.6075,-2.533,-3.9805,17.591,-28.765,6.4415,0.136,3.3259999999999996,4.2385,-10.4175,-2.169
